web-scraper-order,web-scraper-start-url,link-tempat,link-tempat-href,Nama-Tempat,ulasan
"1665299522-340","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Java+Supermall/data=!4m7!3m6!1s0x2e708c9929811453:0xdd2678a0c217d1e6!8m2!3d-7.0060731!4d110.4321018!16s%2Fg%2F1ptyc2t00!19sChIJUxSBKZmMcC4R5tEXwqB4Jt0?authuser=0&hl=id&rclk=1","null","Dani Pratiwi  Local Guide · 237 ulasan                 sebulan lalu Baru     Mcd javamall semarang
Tempat lantai 1 sebelah starbuck deket pintu masuk parkir mobil basement
Tempat nyaman ada indoor dan outdoor …    Lainnya                     +3         Suka    Bagikan"
"1665299532-341","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Majapahit+Semarang/data=!4m7!3m6!1s0x2e708cfa2cc55eb5:0x1f3ca65d0868d8d6!8m2!3d-7.0084664!4d110.4648404!16s%2Fg%2F11b7g30p6z!19sChIJtV7FLPqMcC4R1thoCF2mPB8?authuser=0&hl=id&rclk=1","null","Devi Ayuningtyas  Local Guide · 103 ulasan                 2 bulan lalu Baru     Tempat parkirnya lumayan luas, buat drive thrunya kadang makan jalan kalo terlalu penuh. Karyawan sama tukang parkirnya semua ramah. Cuma yang bagian pilih menu sendiri itu entah kenapa agak lemot pas loading jadinya kalo mau pilih menu pake promo aplikasi harus nunggu lama jadi ngga enak sama yang antri dibelakang :')    Lainnya                          Suka1    Bagikan"
"1665299532-342","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Majapahit+Semarang/data=!4m7!3m6!1s0x2e708cfa2cc55eb5:0x1f3ca65d0868d8d6!8m2!3d-7.0084664!4d110.4648404!16s%2Fg%2F11b7g30p6z!19sChIJtV7FLPqMcC4R1thoCF2mPB8?authuser=0&hl=id&rclk=1","null","setiawati wiwik  Local Guide · 178 ulasan                 2 bulan lalu Baru     Gak terlalu menyenangkan makan disini, mau makan kayak antri sembako lama buanget antrinya, pilih menu makan aja bisa ngantri sampe 30menit lebih, belum bayarnya masih ngantri lagi. Dan banyak anak2 muda pada nongkrong disitu udah selesai makan nongkrongnya lama banget 😀. Semoga MC donalds bisa bertambah baik lagi, sukses selalu.. …    Lainnya                     +5         Suka1    Bagikan"
"1665299532-343","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Majapahit+Semarang/data=!4m7!3m6!1s0x2e708cfa2cc55eb5:0x1f3ca65d0868d8d6!8m2!3d-7.0084664!4d110.4648404!16s%2Fg%2F11b7g30p6z!19sChIJtV7FLPqMcC4R1thoCF2mPB8?authuser=0&hl=id&rclk=1","null","Dani Pratiwi  Local Guide · 237 ulasan                 sebulan lalu Baru     McDonald’s Majapahit
Area jalan majapahit, samping hokben majapahit.
Tempat cukup luas, ada area outdoor dan indoor, ada drive thru, protokol …    Lainnya                     +12         Suka    Bagikan"
"1665299542-344","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Pandanaran/data=!4m7!3m6!1s0x2e708b5a9599bc33:0xafbdf570cb2fd0cd!8m2!3d-6.986278!4d110.4141564!16s%2Fg%2F11f9y1vrtz!19sChIJM7yZlVqLcC4RzdAvy3D1va8?authuser=0&hl=id&rclk=1","null","Isroie isroie  Local Guide · 154 ulasan                 3 bulan lalu Baru     Baru pertama kali ke sini nyobain ayamnya yang terkenal enak, buat dibawa pulang ke Pekalongan karena waktunya sudah sore ... Tempat nya gak terlalu besar tapi letaknya strategis karena berasa di pusat keramaian kota Semarang tepatnya di …    Lainnya                     +5         Suka2    Bagikan"
"1665299542-345","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Pandanaran/data=!4m7!3m6!1s0x2e708b5a9599bc33:0xafbdf570cb2fd0cd!8m2!3d-6.986278!4d110.4141564!16s%2Fg%2F11f9y1vrtz!19sChIJM7yZlVqLcC4RzdAvy3D1va8?authuser=0&hl=id&rclk=1","null","Yenni Oktya  Local Guide · 38 ulasan                 4 bulan lalu Baru     Kebersihan oke, fasilitas oke, keamanan oke sesuai protokol kesehatan, hanya saja untuk bagian kasir pelayanannya tidak oke. Tidak melayani dengan baik, kasir ketus. Semoga kedepannya pelayanan bisa lebih baik. Untuk anak-anak disini oke, ada perosotan yg aman untuk anak-anak, ada baby high chair juga. Bisa untuk layanan drive thru.    Lainnya                              Suka    Bagikan"
"1665299542-346","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's+Pandanaran/data=!4m7!3m6!1s0x2e708b5a9599bc33:0xafbdf570cb2fd0cd!8m2!3d-6.986278!4d110.4141564!16s%2Fg%2F11f9y1vrtz!19sChIJM7yZlVqLcC4RzdAvy3D1va8?authuser=0&hl=id&rclk=1","null","Octavia N Isnaeni  Local Guide · 47 ulasan                 5 bulan lalu Baru     for the first time aku kesini, awalnya agak bingung tempat parkir motornya dimana. terus ketemu ternyata di bawah, ternyata gotnya bau :(
buat yang pake motor agak kasian pas markir motornya, tapi kalo pake mobil aman sih. terus juga makanannya enak banget. minusnya di parkiran motornya ajaaa.    Lainnya                      Suka1    Bagikan"
"1665299552-347","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's/data=!4m7!3m6!1s0x2e7089190d76d5cb:0xacc3aa5853ead130!8m2!3d-7.0611484!4d110.4132053!16s%2Fg%2F11r8clx61!19sChIJy9V2DRmJcC4RMNHqU1iqw6w?authuser=0&hl=id&rclk=1","null","vlr.x  Local Guide · 75 ulasan                 7 bulan lalu Baru     Tidak perlu diragukan lagi si klo soal rasanya, apalagi untuk makanan pendamping mcd juara bangetttt.
Tpi entah kenapa rasa kentangnya nggak seenak biasanya si, kayak kurang mantep, …    Lainnya                          Suka8    Bagikan"
"1665299552-348","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's/data=!4m7!3m6!1s0x2e7089190d76d5cb:0xacc3aa5853ead130!8m2!3d-7.0611484!4d110.4132053!16s%2Fg%2F11r8clx61!19sChIJy9V2DRmJcC4RMNHqU1iqw6w?authuser=0&hl=id&rclk=1","null","joko tri laksono  Local Guide · 104 ulasan                 5 bulan lalu Baru     Gerai McD itu selalu ramai dimanapun dia berada. Mampir kesini cuma beli es krim...lembuuut ga ada tanding👍🏽kesukaan anak-an …    Lainnya                     +2         Suka1    Bagikan"
"1665299552-349","https://www.google.com/maps/search/McDonald's/@-6.9990718,110.4412671,13z","","https://www.google.com/maps/place/McDonald's/data=!4m7!3m6!1s0x2e7089190d76d5cb:0xacc3aa5853ead130!8m2!3d-7.0611484!4d110.4132053!16s%2Fg%2F11r8clx61!19sChIJy9V2DRmJcC4RMNHqU1iqw6w?authuser=0&hl=id&rclk=1","null","by MAV  Local Guide · 207 ulasan                 5 bulan lalu Baru     Kalau soal rasa dimana2 mcD sama aja.

Tapi pelayananNya yang bikin gak nyaman. …    Lainnya                          Suka    Bagikan"
